,titleId,title,averageRating,numVotes
208,tt0000447,Life of an American Fireman,6.4,2128
209,tt0000451,Mary Jane's Mishap,6.5,773
210,tt0000455,Le mélomane,6.8,1664
211,tt0000456,N.Y. Fire Department Returning,4.2,38
212,tt0000464,Rip Van Winkle,4.7,359
213,tt0000465,Le royaume des fées,7.3,1224
214,tt0000469,The Sick Kitten,5.8,911
215,tt0000471,Uncle Tom's Cabin,5.1,411
216,tt0000472,Uncle Tom's Cabin,6.4,13
217,tt0000479,Buy Your Own Cherries,5.3,336
218,tt0000480,Le coffre enchanté,5.0,162
219,tt0000487,The Great Train Robbery,7.0,428
220,tt0000488,The Land Beyond the Sunset,6.9,710
221,tt0000491,Opening the Williamsburg Bridge,4.0,40
222,tt0000492,Personal,5.0,93
223,tt0000495,Le pêcheur de perles,6.0,84
224,tt0000498,Rescued by Rover,6.7,1059
225,tt0000499,Le voyage à travers l'impossible,7.6,3141
226,tt0000501,Adventures of Sherlock Holmes,4.6,25
227,tt0000505,La course à la perruque,8.1,11
228,tt0000506,"D.T.'s, or the Effect of Drink",5.0,6
229,tt0000507,Departure of Peary and the Roosevelt from New York,3.7,28
230,tt0000509,Les débuts d'un chauffeur,6.0,21
231,tt0000511,Esmeralda,6.7,24
232,tt0000515,Los guapos del parque,4.8,74
233,tt0000516,El hotel eléctrico,6.5,868
234,tt0000519,The Kleptomaniac,5.7,306
235,tt0000521,The Little Train Robbery,5.4,254
236,tt0000524,New York Subway,5.7,662
237,tt0000525,Pendaison à Jefferson City,5.4,39
238,tt0000528,"Raffles, the Amateur Cracksman",6.0,9
239,tt0000534,The '?' Motorist,6.6,985
240,tt0000535,Anarkistens svigermor,5.1,48
241,tt0000537,"Arrival of Immigrants, Ellis Island",4.5,65
242,tt0000543,Christian IXS bisættelse,5.2,12
243,tt0000546,Dream of a Rarebit Fiend,6.7,1709
244,tt0000548,Fiskerliv i Norden,5.5,6
245,tt0000550,Proklamationen af Kong Frederik d. VIII,4.4,8
246,tt0000553,The Haunted Hotel,6.5,321
247,tt0000554,Humorous Phases of Funny Faces,6.2,1122
248,tt0000555,Den hvide slavinde,5.2,11
249,tt0000557,Kathleen Mavourneen,4.7,95
250,tt0000561,The Life of a Cowboy,5.3,32
251,tt0000565,The Night Before Christmas,6.3,497
252,tt0000567,Les quatre cents farces du diable,6.7,940
253,tt0000574,The Story of the Kelly Gang,6.1,613
254,tt0000575,20000 lieues sous les mers,5.8,415
255,tt0000576,Ali Baba et les quarante voleurs,6.0,195
256,tt0000582,Ben Hur,5.0,596
257,tt0000583,Kameliadamen,5.4,27
258,tt0000591,L'enfant prodigue,5.5,6
259,tt0000594,Flugten fra seraillet,6.0,6
260,tt0000595,Rosen,5.7,6
261,tt0000597,Les glaces merveilleuses,4.9,56
262,tt0000598,Hamlet,5.4,25
263,tt0000599,Isbjørnejagten,4.7,7
264,tt0000601,Lohengrin,5.0,6
265,tt0000602,Løvejagten,4.6,169
266,tt0000608,En ny hat til Madammen,6.0,6
267,tt0000609,Otello,4.2,12
268,tt0000610,Othello,5.0,11
269,tt0000614,Le spectre rouge,6.5,915
270,tt0000617,Røverens brud,4.6,16
271,tt0000618,Salaviinanpolttajat,8.0,6
272,tt0000621,That Fatal Sneeze,6.4,525
273,tt0000628,The Adventures of Dollie,5.7,690
274,tt0000630,Amleto,3.2,11
275,tt0000634,Antony and Cleopatra,3.7,10
276,tt0000637,L'assassinat du duc de Guise,5.5,587
277,tt0000638,At the Crossroads of Life,5.3,34
278,tt0000640,An Awful Moment,4.3,79
279,tt0000641,Balked at the Altar,4.8,105
280,tt0000644,Behind the Scenes,5.3,18
281,tt0000645,Betrayed by a Handprint,5.2,109
282,tt0000648,The Black Viper,4.7,107
283,tt0000653,A Calamitous Elopement,4.6,151
284,tt0000658,Le cauchemar de Fantoche,6.3,180
285,tt0000661,La civilisation à travers les âges,6.2,10
286,tt0000666,Corrida de toros con Antonio Fuentes,5.8,20
287,tt0000668,The Count of Monte Cristo,7.0,22
288,tt0000669,Cupid's Pranks,4.9,104
289,tt0000671,Desdemona,6.7,9
290,tt0000677,Ex-Convict No. 900,6.5,6
291,tt0000682,Fantasmagorie,6.9,2214
292,tt0000684,Father Gets in the Game,5.1,75
293,tt0000689,For Love of Gold,6.6,16
294,tt0000699,The Helping Hand,6.0,8
295,tt0000706,"Ingomar, the Barbarian",5.1,11
296,tt0000709,Julius Caesar,5.7,33
297,tt0000713,The King's Messenger,6.0,6
298,tt0000717,Macbeth,5.6,9
299,tt0000722,Maria Marten,5.4,7
300,tt0000724,The Merchant of Venice,5.2,32
301,tt0000727,Monday Morning in a Coney Island Police Court,6.2,9
302,tt0000728,Money Mad,5.9,93
303,tt0000734,Othello,4.2,6
304,tt0000741,The Planter's Wife,5.0,8
305,tt0000748,The Red Man and the Child,5.9,13
306,tt0000749,Rescued from an Eagle's Nest,5.7,661
307,tt0000750,Richard III,7.0,7
308,tt0000752,Romance of a Jewess,5.4,92
309,tt0000754,Romeo and Juliet,7.1,41
310,tt0000755,Le rêve d'un fumeur d'opium,5.7,165
311,tt0000756,The Sculptor's Nightmare,5.4,87
312,tt0000758,Sherlock Holmes i Livsfare,6.2,17
313,tt0000759,Sherlock Holmes II,7.9,8
314,tt0000764,The Song of the Shirt,5.7,103
315,tt0000769,Le tambourin fantastique,5.3,123
316,tt0000770,The Taming of the Shrew,5.4,104
